Subscriber_ID,Name,Age,Gender,Subscription_Type,Subscription_Tenure_Months,Monthly_Subscription_Fee,Usage_Hours_Per_Week,Days_Since_Last_Login,Payment_Failure_Count,Customer_Support_Tickets,Customer_Satisfaction_Score,Device_Type,City,Churn_Status
SUB100000,Ira Varughese,19.0,Female,Basic,70,33448.0,17.6,113,2,6,7.0,Mobile,Nagpur,1
SUB100001,Nitya Dey,,Female,Premium,15,458.0,24.1,150,7,5,5.0,Laptop,Delhi,1
SUB100002,Ryan Dhaliwal,44.0,Male,Standard,23,1637.0,17.4,112,6,13,,Tablet,Hyderabad,1
SUB100003,Oorja Saxena,31.0,Female,Premium,33,2271.0,6.0,82,3,5,1.0,Mobile,Pune,0
SUB100004,Inaaya  Keer,31.0,Male,Basic,36,1419.0,1.7,31,2,14,7.0,Laptop,Jaipur,1
SUB100005,Vedika Sankar,47.0,Female,Basic,51,1949.0,14.0,70,2,5,9.0,Laptop,Ahmedabad,1
SUB100006,Damini Kumar,46.0,Male,Basic,70,450.0,38.6,48,3,6,1.0,Mobile,Mumbai,1
SUB100007,Aayush Sur,69.0,Female,Basic,14,97246.0,20.0,148,2,8,7.0,Mobile,Mumbai,0
SUB100008,Azad Vohra,23.0,Male,Standard,65,740.0,20.4,29,5,5,2.0,Mobile,Ahmedabad,0
SUB100009,Jhanvi Buch,30.0,Male,Family,47,2313.0,13.1,102,3,14,10.0,Smart TV,Kolkata,1
SUB100010,Mamooty Khalsa,46.0,Female,Family,53,1837.0,17.9,78,2,5,5.0,Tablet,Nagpur,0
SUB100011,Jivika Rege,20.0,Male,Premium,65,,8.2,106,4,10,6.0,Laptop,Bangalore,0
SUB100012,Shamik Raj,31.0,Male,Premium,22,1367.0,5.3,160,4,11,7.0,Smart TV,Delhi,0
SUB100013,Hrishita Krishnan,,Female,Family,61,,,93,5,14,2.0,Tablet,Hyderabad,1
SUB100014,Oorja Deshpande,50.0,Female,Basic,65,1573.0,36.5,159,7,6,4.0,Laptop,Pune,1
SUB100015,Charvi Sekhon,25.0,Male,Premium,41,678.0,19.5,52,3,4,,Mobile,Pune,0
SUB100016,Ahana  Kapadia,50.0,Female,Basic,17,2488.0,35.5,175,0,14,9.0,Tablet,Chennai,1
SUB100017,Samarth Savant,,Female,Standard,4,359.0,32.5,103,5,1,1.0,Mobile,Jaipur,0
SUB100018,Hridaan Gandhi,,Male,Family,65,1950.0,22.0,48,3,14,3.0,Tablet,Jaipur,1
SUB100019,Hiran Bera,38.0,Female,Family,57,2434.0,10.8,120,1,3,7.0,Mobile,Ahmedabad,0
SUB100020,Nitara Bath,51.0,Female,Premium,28,492.0,1.2,37,5,4,9.0,Mobile,Kolkata,0
SUB100021,Shalv Ghosh,66.0,Male,Basic,11,2178.0,37.4,143,0,6,6.0,Mobile,Mumbai,0
SUB100022,Madhup Ben,56.0,Male,Basic,32,543.0,41.4,1,7,9,6.0,Mobile,Chennai,0
