Customer_ID,Name,Age,Gender,Tenure_Months,Total_Orders,Average_Order_Value,Days_Since_Last_Order,Return_Rate,Customer_Satisfaction_Score,City,Churn_Status
EC100000,Khushi Dugal,49.0,Male,38,104,18836.46,97.0,0.12,9.0,Chennai,0
EC100001,Rasha Bahri,29.0,Male,4,9,14534.35,47.0,0.63,8.0,Ahmedabad,1
EC100002,Mohanlal Thakkar,35.0,Male,14,166,4800.76,1.0,0.24,,Nagpur,0
EC100003,Vihaan Karan,24.0,Female,38,93,12982.43,23.0,0.57,6.0,Mumbai,0
EC100004,Misha Dhar,41.0,Female,60,33,22130.01,115.0,0.45,8.0,Pune,1
EC100005,Arhaan Joshi,29.0,Female,44,21,21934.2,43.0,0.27,9.0,Mumbai,0
EC100006,Tejas Bahri,65.0,Female,53,52,22164.25,148.0,0.0,6.0,Hyderabad,1
EC100007,Amani Saxena,27.0,Male,28,19,4172.03,74.0,0.48,6.0,Pune,1
EC100008,Fateh Rajagopal,31.0,Female,35,160,14787.84,98.0,0.17,,Kolkata,1
EC100009,Damini Singh,58.0,Male,3,184,9126.8,23.0,0.33,1.0,Ahmedabad,0
EC100010,Ayesha Ranganathan,22.0,Female,15,199,8844.62,68.0,0.45,1.0,Chennai,1
EC100011,Rati Ramaswamy,58.0,Female,62,63,22990.28,126.0,0.28,9.0,Jaipur,0
EC100012,Priyansh Chad,46.0,Female,39,48,18694.58,52.0,0.26,10.0,Jaipur,0
EC100013,Miraan Raju,18.0,Female,6,43,14785.79,28.0,0.24,5.0,Mumbai,0
EC100014,Shanaya Aurora,64.0,Male,65,210,9066.23,73.0,0.15,8.0,Chennai,1
EC100015,Vivaan Zacharia,,Female,26,36,7711.31,,0.08,5.0,Jaipur,0
EC100016,Lakshay Dube,30.0,Male,12,82,13773.87,12.0,0.66,3.0,Ahmedabad,1
EC100017,Anahi Madan,47.0,Female,43,244,15724.39,42.0,0.23,4.0,Pune,0
EC100018,Bhavin Kota,,Male,54,166,4066.69,59.0,0.42,4.0,Bangalore,1
EC100019,Fateh Ahuja,67.0,Female,38,106,23913.49,34.0,0.62,7.0,Pune,0
EC100020,Advika Swamy,37.0,Female,11,32,17125.95,78.0,0.36,1.0,Nagpur,1
EC100021,Neelofar Sarin,,Female,55,139,12837.57,14.0,0.37,1.0,Mumbai,1
EC100022,Tara Vaidya,26.0,Female,24,240,13304.7,49.0,0.28,9.0,Delhi,0
EC100023,Sumer Barad,69.0,Male,27,26,12230.24,142.0,0.37,6.0,Pune,1
EC100024,Vivaan Sachdeva,47.0,Female,27,38,12942.54,32.0,0.36,10.0,Pune,1
EC100025,Kashvi Kashyap,69.0,Female,11,132,6743.13,69.0,0.16,5.0,Mumbai,0
EC100026,Dhruv Subramanian,52.0,Male,38,164,5328.16,,0.17,9.0,Bangalore,0
EC100027,Armaan Dara,62.0,Male,29,90,782746.0,6.0,0.43,10.0,Delhi,0
EC100028,Kavya Wable,26.0,Male,5,226,16285.69,174.0,0.46,2.0,Delhi,0
EC100029,Gokul Datta,37.0,Female,28,99,9666.29,8.0,0.08,10.0,Chennai,0
EC100030,Alisha Batra,28.0,Female,61,229,4562.27,5.0,0.51,4.0,Hyderabad,1
EC100031,Advika Manda,30.0,Female,61,180,1936.05,100.0,0.24,2.0,Mumbai,1
EC100032,Chirag Chakraborty,,Male,17,66,19091.55,126.0,0.19,1.0,Jaipur,1
EC100033,Tara Ramesh,61.0,Female,11,208,15355.17,179.0,0.37,2.0,Ahmedabad,1
EC100034,Nirvi Bhatia,41.0,??,42,214,9143.64,27.0,0.19,5.0,Nagpur,0
EC100035,Ayesha Vig,18.0,Male,61,113,2668.82,168.0,0.22,5.0,Kolkata,0
EC100036,Lavanya Shukla,59.0,Female,29,140,,42.0,0.15,5.0,Chennai,0
EC100037,Renee Varma,27.0,Male,42,121,1906.07,17.0,0.1,3.0,Chennai,0
EC100038,Adira Warrior,65.0,Other,29,125,22960.7,141.0,0.28,3.0,Hyderabad,1
EC100039,Suhana Bera,26.0,Female,6,69,24290.09,47.0,0.35,6.0,Jaipur,0
EC100040,Kaira Thakur,54.0,Female,45,107,4267.07,5.0,0.24,,Kolkata,1
EC100041,Yakshit Chad,37.0,Male,67,113,15950.04,107.0,0.3,4.0,Mumbai,1
EC100042,Vidur Ghose,53.0,Female,30,68,10080.31,20.0,0.41,9.0,Bangalore,1
EC100043,Ahana  Mandal,46.0,Male,34,8,,84.0,0.02,1.0,Ahmedabad,1
EC100044,Raunak Magar,25.0,Male,20,135,15315.17,78.0,0.48,4.0,Pune,1
EC100045,Ehsaan Bala,28.0,Female,67,12,3838.93,53.0,0.12,8.0,Ahmedabad,0
EC100046,Miraya Trivedi,57.0,Male,26,133,15684.72,80.0,0.35,6.0,Jaipur,1
EC100047,Raunak Ratta,56.0,Male,35,210,11790.13,98.0,0.22,5.0,Mumbai,0
EC100048,Darshit Choudhry,64.0,Female,34,155,1512.26,178.0,0.68,7.0,Ahmedabad,0
EC100049,Anahi Babu,27.0,Female,61,89,22656.77,57.0,0.46,2.0,Nagpur,1
EC100050,Anahita Khalsa,36.0,Male,71,54,10014.53,155.0,0.19,5.0,Kolkata,0
EC100051,Urvi Jayaraman,25.0,Male,41,141,,71.0,0.32,9.0,Jaipur,0
EC100052,Tushar Chauhan,57.0,Male,6,114,22069.68,36.0,0.0,,Hyderabad,0
EC100053,Raghav Ahuja,33.0,Male,45,200,17804.49,36.0,0.55,3.0,Pune,0
EC100054,Hunar Lall,62.0,Female,49,14,18906.28,2.0,0.02,4.0,Pune,0
EC100055,Hunar Grewal,,Male,63,108,12570.62,48.0,0.01,3.0,Bangalore,0
EC100056,Rania Keer,60.0,Female,32,86,13436.57,3.0,0.08,4.0,Kolkata,0
EC100057,Inaaya  Dani,30.0,Male,58,230,9075.9,76.0,0.44,6.0,Kolkata,0
EC100058,Dharmajan Dhawan,35.0,Male,32,45,20108.05,36.0,0.34,4.0,Mumbai,1
EC100059,Shalv Rastogi,29.0,Female,28,64,613.94,101.0,0.37,3.0,Mumbai,1
EC100060,Inaaya  Thaman,69.0,Male,11,173,15102.13,151.0,0.21,6.0,Nagpur,1
EC100061,Bhavin Sethi,33.0,Male,39,17,14125.77,56.0,0.7,3.0,Nagpur,1
EC100062,Ranbir Kar,51.0,Male,43,59,6576.88,86.0,0.3,6.0,Ahmedabad,0
EC100063,Yuvraj  Bajaj,47.0,Male,29,60,18294.47,38.0,0.3,9.0,Kolkata,0
EC100064,Lagan Dhillon,42.0,Male,43,58,21650.08,124.0,0.05,2.0,Hyderabad,0
EC100065,Heer Korpal,54.0,Male,39,161,2499.08,29.0,0.56,9.0,Pune,1
EC100066,Trisha Khanna,37.0,Male,4,22,22324.75,122.0,0.59,3.0,Hyderabad,1
EC100067,Yuvaan Goel,68.0,Male,67,52,23220.46,138.0,0.35,10.0,Ahmedabad,0
EC100068,Aniruddh Barman,53.0,Female,24,125,6846.83,129.0,0.68,7.0,Nagpur,0
EC100069,Aniruddh Bahl,48.0,Female,7,92,9577.32,115.0,0.66,2.0,Nagpur,1
EC100070,Vidur Andra,28.0,Female,15,71,23716.84,1.0,0.61,5.0,Bangalore,1
EC100071,Heer Dua,69.0,Male,55,103,5424.44,113.0,0.16,8.0,Nagpur,1
EC100072,Stuvan Chakraborty,57.0,Female,13,221,920733.0,69.0,0.5,10.0,Pune,0
EC100073,Biju Choudhary,,Male,30,242,15827.44,56.0,0.53,7.0,Chennai,0
EC100074,Nitya Suresh,45.0,Male,6,190,18670.28,40.0,0.08,9.0,Kolkata,0
EC100075,Diya Chadha,26.0,Male,51,182,20076.19,144.0,0.07,6.0,Bangalore,0
EC100076,Manikya Savant,40.0,Female,49,114,,155.0,0.58,,Kolkata,0
EC100077,Azad Iyer,44.0,Female,43,163,16052.2,154.0,0.39,5.0,Ahmedabad,1
EC100078,Mehul Date,69.0,Male,16,79,10017.93,69.0,0.08,9.0,Pune,0
EC100079,Ojas Mannan,41.0,Male,2,175,11458.42,36.0,0.18,3.0,Nagpur,0
