Customer_ID,Name,Age,Gender,City,Membership_Type,Tenure_Months,Total_Rides,Average_Ride_Cost,Days_Since_Last_Ride,Cancellation_Rate,Customer_Satisfaction_Score,Payment_Method,App_Usage_Hours_Per_Week,Churn_Status
RS100000,Rohan Barad,,Male,Pune,Premium,16,82,1441.39,24,0.7,4.0,Cash,20.4,1
RS100001,Rasha Vyas,22.0,Male,Nagpur,Premium,29,295,556.9,118,0.7,2.0,Card,27.9,1
RS100002,Kashvi Bassi,44.0,Male,Delhi,Corporate,1,574,1301.14,109,0.07,3.0,Card,3.9,0
RS100003,Nishith Singh,19.0,Male,Mumbai,Regular,23,121,2065.29,160,0.35,,Cash,3.5,1
RS100004,Suhana Bhattacharyya,37.0,Male,Chennai,Gold,65,115,1880.35,80,0.69,9.0,Wallet,10.9,1
RS100005,Dhanuk Zacharia,18.0,Female,Bangalore,Regular,61,268,1734.64,25,0.21,6.0,UPI,,0
RS100006,Pari Ramanathan,59.0,Female,Chennai,Regular,17,47,144.1,73,0.26,10.0,Card,17.4,0
RS100007,Sumer Lad,22.0,Male,Hyderabad,Regular,55,126,2340.42,56,0.7,6.0,UPI,24.9,1
RS100008,Aaina Hans,32.0,Female,Chennai,Premium,34,163,1925.67,149,0.59,6.0,UPI,22.3,1
RS100009,Faiyaz Babu,43.0,Female,Bangalore,Premium,33,213,2428.19,162,0.7,10.0,Card,21.9,1
RS100010,Aaryahi Setty,62.0,Female,Pune,Gold,61,137,638.67,16,0.1,6.0,Wallet,4.6,0
RS100011,Tarini Aurora,54.0,FEMALE,Bangalore,Regular,60,163,1229.18,66,0.67,4.0,Cash,,1
RS100012,Anya Deshmukh,41.0,Male,Kolkata,Gold,45,412,,21,0.65,1.0,Card,25.1,1
RS100013,Emir Khurana,,Male,Nagpur,Premium,21,379,1053.55,13,0.21,9.0,Wallet,2.7,0
RS100014,Vanya Ganesan,39.0,Male,Kolkata,Regular,29,87,493.7,17,0.77,7.0,UPI,16.9,0
RS100015,Advik Dasgupta,28.0,Female,Pune,Regular,67,34,1924.34,32,0.62,3.0,UPI,21.6,1
RS100016,Prerak Bhat,32.0,Male,Chennai,Corporate,11,77,2156.37,3,0.11,7.0,UPI,19.0,0
RS100017,Baiju Gokhale,66.0,Male,Bangalore,Gold,54,550,892.59,13,0.0,2.0,Wallet,34.7,0
RS100018,Aarna Gala,34.0,Male,Delhi,Corporate,39,589,183.04,47,0.69,3.0,UPI,,0
RS100019,Vanya D’Alia,61.0,Female,Delhi,Regular,3,345,776.79,97,0.3,,Cash,9.9,1
RS100020,Tarini Sachar,30.0,Male,Delhi,Regular,53,497,2218.07,13,0.66,8.0,Wallet,14.2,0
RS100021,Hazel Bhatia,59.0,Other,Bangalore,Corporate,23,548,239.44,5,0.3,4.0,UPI,27.1,1
RS100022,12345,31.0,Male,Ahmedabad,Regular,17,185,,88,0.78,5.0,Wallet,7.9,1
RS100023,Faiyaz Gara,69.0,Male,Pune,Gold,41,443,2173.82,179,0.33,5.0,Wallet,29.9,0
RS100024,Neelofar Mangat,34.0,Male,Ahmedabad,Regular,67,12,,111,0.07,2.0,Card,22.9,0
RS100025,Keya Sathe,27.0,Male,Bangalore,Gold,3,429,412.05,159,0.57,10.0,Cash,25.6,1
RS100026,Tanya Jain,51.0,Female,Hyderabad,Regular,45,403,969.73,10,0.19,3.0,Cash,30.8,0
RS100027,Prisha Bedi,,Female,Hyderabad,Premium,24,364,2166.51,88,0.21,1.0,Wallet,20.2,1
RS100028,Samar Reddy,40.0,Male,Bangalore,Regular,20,412,2223.93,22,0.1,5.0,UPI,26.2,0
RS100029,Prisha Vaidya,23.0,Female,Kolkata,Gold,63,348,249.62,19,0.07,6.0,Card,25.2,0
RS100030,Diya Golla,38.0,Male,Mumbai,Premium,69,319,149.1,150,0.32,3.0,UPI,20.3,0
RS100031,Kanav Karnik,53.0,Female,Hyderabad,Gold,51,559,1702.16,75,0.08,1.0,Card,20.3,0
RS100032,Sahil Srinivas,44.0,Female,Kolkata,Gold,38,265,122.97,97,0.22,7.0,Card,24.6,1
RS100033,Aradhya Mann,33.0,Female,Chennai,Gold,43,48,1918.9,5,0.79,10.0,Card,12.4,0
RS100034,Riya Buch,40.0,Male,Delhi,Premium,63,183,898.51,47,0.11,3.0,UPI,29.0,1
RS100035,Divij Chana,64.0,Female,Jaipur,Corporate,29,69,1955.84,107,0.47,4.0,UPI,28.6,0
RS100036,Riya Hayer,24.0,Female,Bangalore,Regular,9,8,1020.1,75,0.41,10.0,UPI,14.6,1
RS100037,Ojas Banik,41.0,Male,Nagpur,Gold,6,57,192.79,111,0.75,1.0,Card,24.2,1
RS100038,12345,50.0,Male,Ahmedabad,Corporate,26,373,383.04,21,0.67,4.0,Cash,8.1,0
