Index,CustomerID,Name,Tenure,MonthlyCharges,TotalCharges,InternetService,DataUsage,CustomerSupportCalls,Complaints,AutoPay,LastRechargeDaysAgo,Churn
1.0,CUST100000,Amit Patil,51,2499.0,127629.29,Cellular,36.6,4,1,Yes,82,Yes
2.0,CUST100001,Neha Gupta,23,399.0,9237.36,Fiber,2.82,7,3,NO,29,Yes
3.0,CUST100002,Kiran Joshi,63,999.0,63133.88,DSL,30.87,9,4, yes ,107,Yes
4.0,CUST100003,Vikas Joshi,58,999.0,57901.94,Cellular,2.33,2,3, yes ,54,No
5.0,CUST100004,Kiran Singh,2,999.0,2141.98,Fiber,34.02,8,1,NO,3,No
6.0,CUST100005,Priya Singh,13,699.0,9210.36,DSL,15.23,4,1, yes ,83,Yes
7.0,CUST100006,Anjali Gupta,59,999.0,58789.82,Cellular,24.76,2,0,No,35,Yes
8.0,CUST100007,Amit Gupta,3,2499.0,7421.68,Cellular,26.0,9,3,No,53,Yes
9.0,CUST100008,Kiran Verma,17,1026.51,17626.47,Cellular,44.74,7,3,NO,61,No
10.0,CUST100009,Priya Verma,52,199.0,10382.7,Fiber,48.26,8,4,NO,14,Yes
11.0,CUST100010,Neha Patil,  70 ,2499.0,174899.36,Fiber,19.74,7,2,No,114,No
12.0,CUST100011,Amit Kumar,34,999.0,34082.07,Cellular,30.3,9,1,Yes,40,No
13.0,CUST100012,Neha Singh,71,699.0,49608.78,Fiber,4.77,6,4,Yes,98,No
14.0,CUST100013,Rohit Reddy,34,2496.22,84719.32,Cellular,35.66,0,4,Yes,89,Yes
15.0,CUST100014,Vikas Patil,13,199.0,2584.52,Cellular,26.14,9,1,NO,76,Yes
16.0,CUST100015,Rahul Patil,51,699.0,35674.31,Cellular,34.78,4,4,NO,14,No
17.0,CUST100016,Sneha Gupta,35,443.29,15554.7,Fiber,34.74,1,1,Yes,44,No
18.0,CUST100017,Rohit Naik,5,2494.65,12360.63,Cellular,20.83,9,3,NO,88,No
19.0,CUST100018,Vikas Joshi,0,2471.79,-29.16,Cellular,40.9,8,2,NO,102,Yes
20.0,CUST100019,Neha Patil,26,990.74,25648.08,Fiber,5.99,7,2, yes ,117,Yes
21.0,CUST100020,Pooja Joshi,51,199.0,10094.45,Cellular,48.59,3,3,Yes,38,No
22.0,CUST100021,Priya Naik,55,199.0,10759.75,Cellular,30.48,1,3,Yes,53,Yes
23.0,CUST100022,Anjali Gupta,0,399.0,-104.18,Cellular,7.24,9,3,No,54,No
24.0,CUST100023,Sneha Naik,16,221.82,3496.23,Cellular,31.62,5,2,Yes,111,No
25.0,CUST100024,Vikas Sharma,58,167.65,9540.01,Fiber,29.54,3,2, yes ,89,No
26.0,CUST100025,Sneha Yadav,18,2483.87,44548.13,Cellular,47.03,7,1,No,103,Yes
27.0,CUST100026,Rohit Yadav,56,360.35,20349.48,DSL,43.87,2,3,No,15,No
28.0,CUST100027,Sneha Reddy,59,2499.0,147345.33,Cellular,49.81,4,4,NO,31,No
29.0,CUST100028,Anjali Sharma,8,676.89,5495.26,Cellular,42.33,3,0,No,23,No
30.0,CUST100029,Priya Gupta,71,199.0,14243.14,Cellular,33.45,2,0,Yes,98,No
31.0,CUST100030,Sneha Kumar,17,399.0,6647.32,DSL,27.44,5,2, yes ,79,No
32.0,CUST100031,Rahul Singh,32,2450.81,78423.48,Cellular,8.94,7,2,Yes,16,No
33.0,CUST100032,Rahul Naik,47,158.37,7390.48,Cellular,13.26,5,4,No,50,No
34.0,CUST100033,Vikas Naik,26,199.0,5147.76,Cellular,17.5,0,3,Yes,110,No
35.0,CUST100034,Sneha Joshi,68,672.02,45697.04,Fiber,28.6,0,0,No,43,No
36.0,CUST100035,Anjali Gupta,45,399.0,18120.95,DSL,18.51,8,4,Yes,23,No
37.0,CUST100036,Rohit Singh,45,399.0,18141.66,Fiber,48.18,0,3,No,62,
38.0,CUST100037,Anjali Singh,31,434.11,13384.18,Cellular,8.47,8,1,No,94,No
39.0,CUST100038,Sneha Patil,66,706.01,46435.53,Cellular,30.75,5,1, yes ,26,No
40.0,CUST100039,Anjali Reddy,16,999.0,16123.47,Cellular,6.83,5,4,No,41,No
41.0,CUST100040,Pooja Sharma,49,235.71,11715.09,Fiber,25.57,8,3,NO,44,Yes
42.0,CUST100041,Rahul Reddy,7,199.0,1473.79,Fiber,39.79,2,3,NO,97,Yes
43.0,CUST100042,Neha Singh,62,999.0,61752.38,Fiber,23.28,5,, yes ,57,Yes
44.0,CUST100043,Amit Reddy,51,999.0,50764.53,Cellular,15.16,4,0,No,7,No
45.0,CUST100044,Vikas Gupta,4,2499.0,9978.91,Cellular,42.1,3,2,NO,54,Yes
46.0,CUST100045,Rahul Joshi,15,  2546.59 ,38205.37,Fiber,16.15,0,2,NO,91,No
47.0,CUST100046,Amit Reddy,61,199.0,12273.39,DSL,34.8,4,0, yes ,57,No
48.0,CUST100047,Neha Sharma,33,372.98,12145.89,Cellular,9.14,4,0,NO,15,No
49.0,CUST100048,Amit Sharma,63,404.44,25524.41,Cellular,20.98,9,2,Yes,100,Yes
50.0,CUST100049,Vikas Sharma,28,199.0,5418.43,DSL,2.3,0,3,No,68,No
51.0,CUST100050,Priya Sharma,47,999.0,47075.77,Cellular,17.32,4,1,Yes,9,No
52.0,CUST100051,Kiran Sharma,33,2499.0,82371.36,Fiber,0.77,2,1,No,95,No
53.0,CUST100052,Rahul Yadav,68,2499.0,170005.59,DSL,30.79,6,1,NO,112,No
54.0,CUST100053,Vikas Joshi,31,  699.0 ,21845.09,Cellular,28.77,1,2,Yes,32,No
55.0,CUST100054,Rohit Singh,50,1031.06,51603.38,Cellular,41.02,7,1,Yes,42,Yes
56.0,CUST100055,Vikas Kumar,12,2499.0,29873.84,Cellular,18.86,2,1,Yes,34,No
57.0,CUST100056,Sneha Sharma,7,387.54,2785.43,Fiber,17.03,2,0, yes ,6,Yes
58.0,CUST100057,Vikas Singh,28,399.0,10987.67,Cellular,20.9,8,3,NO,9,No
59.0,CUST100058,Amit Joshi,23,2499.0,57599.73,Cellular,49.53,3,1,No,112,No
60.0,CUST100059,Pooja Singh,23,699.0,16223.85,Fiber,28.09,0,4,No,22,No
61.0,CUST100060,Priya Joshi,29,2539.26,73640.64,DSL,41.32,5,4, yes ,58,Yes
62.0,CUST100061,Pooja Kumar,11,1044.85,11632.21,Cellular,17.75,3,2,Yes,110,Yes
63.0,CUST100062,Vikas Reddy,68,999.0,67849.28,Fiber,16.43,4,3, yes ,52,No
64.0,CUST100063,Anjali Verma,56,199.0,10989.39,Cellular,46.55,9,1,Yes,4,No
65.0,CUST100064,Neha Reddy,17,745.87,12755.0,Fiber,41.85,0,4,NO,101,Yes
66.0,CUST100065,Neha Joshi,12,199.0,2277.03,Fiber,19.83,9,1,NO,4,No
67.0,CUST100066,Rahul Joshi,37,2499.0,92657.66,Fiber,18.71,0,3,Yes,16,No
68.0,CUST100067,Rahul Yadav,44,399.0,17657.35,Fiber,18.81,2,4,NO,107,No
69.0,CUST100068,Amit Verma,18,2460.12,44279.21,Cellular,0.57,9,,NO,91,No
70.0,CUST100069,Rohit Kumar,38,2523.6,95930.15,DSL,48.11,0,0,NO,55,No
71.0,CUST100070,Pooja Singh,5,399.0,2115.84,Cellular,48.9,4,4,NO,74,No
72.0,CUST100071,Rohit Yadav,35,199.0,6986.54,Cellular,48.47,1,0,No,48,No
73.0,CUST100072,Pooja Verma,30,2499.0,75168.33,Fiber,34.85,2,0,Yes,74,No
74.0,CUST100073,Pooja Verma,15,999.0,15141.11,Cellular,22.78,4,1, yes ,91,No
75.0,CUST100074,Kiran Sharma,7,999.0,6934.34,Fiber,29.18,4,0,NO,99,No
76.0,CUST100075,Pooja Verma,62,699.0,43352.44,Cellular,15.48,3,4,Yes,91,Yes
77.0,CUST100076,Sneha Kumar,12,399.0,4952.37,Fiber,41.13,1,2,Yes,68,No
78.0,CUST100077,Sneha Gupta,65,399.0,25768.1,DSL,43.83,4,0, yes ,117,No
79.0,CUST100078,Pooja Sharma,48,386.67,18659.99,DSL,19.65,0,4, yes ,32,No
80.0,CUST100079,Rahul Gupta,0,2499.0,-194.53,Cellular,3.77,0,4,NO,94,No
81.0,CUST100080,Sneha Gupta,2,999.0,2020.17,Cellular,38.45,4,1,NO,73,No
82.0,CUST100081,Sneha Sharma,0,999.0,181.62,Fiber,30.31,0,0, yes ,103,No
83.0,CUST100082,Pooja Patil,71,2499.0,177237.87,Cellular,24.91,5,2,NO,49,No
84.0,CUST100083,Pooja Reddy,53,2499.0,132634.19,Cellular,4.42,8,0, yes ,111,No
85.0,CUST100084,Sneha Yadav,22,999.0,22080.05,Cellular,31.02,1,2, yes ,50,  No 
86.0,CUST100085,Rohit Kumar,63,999.0,62742.82,DSL,17.53,1,1,No,29,No
87.0,CUST100086,Anjali Singh,50,199.0,10111.66,Fiber,17.41,5,0, yes ,87,No
88.0,CUST100087,Priya Kumar,29,699.0,20319.83,Cellular,43.12,4,4, yes ,3,No
89.0,CUST100088,Pooja Singh,16,999.0,15980.85,Cellular,12.91,7,4,Yes,33,No
90.0,CUST100089,Priya Reddy,65,381.88,24875.56,DSL,12.01,2,0,No,22,Yes
91.0,CUST100090,Neha Patil,15,413.09,6069.1,Cellular,17.28,2,2,No,26,No
92.0,CUST100091,Priya Singh,49,399.0,19591.77,DSL,11.19,4,4, yes ,81,Yes
93.0,CUST100092,Anjali Verma,60,699.0,41752.72,Cellular,27.44,4,0,NO,11,Yes
94.0,CUST100093,Vikas Joshi,33,361.87,11873.75,Cellular,16.08,9,0, yes ,46,No
95.0,CUST100094,Anjali Joshi,55,699.0,38594.43,Fiber,46.04,0,1, yes ,35,No
96.0,CUST100095,Rohit Joshi,51,699.0,35532.74,Cellular,18.52,5,1,NO,27,No
97.0,CUST100096,Rohit Naik,1,699.0,797.99,Fiber,1.83,7,2,NO,6,No
98.0,CUST100097,Neha Sharma,22,399.0,8782.67,Cellular,26.61,1,1,Yes,37,No
99.0,CUST100098,Kiran Sharma,14,699.0,9627.95,Cellular,36.87,9,0,Yes,16,Yes
100.0,CUST100099,Kiran Joshi,43,199.0,8450.29,Fiber,17.15,8,3,NO,9,No
101.0,CUST100100,Neha Reddy,17,399.0,6617.77,Fiber,26.86,1,0,NO,107,Yes
102.0,CUST100101,Rohit Kumar,40,2499.0,99894.98,Cellular,44.98,1,2,No,55,No
103.0,CUST100102,Anjali Kumar,69,2499.0,172473.31,Fiber,11.86,5,  4 ,NO,69,No
104.0,CUST100103,Rahul Singh,3,699.0,2237.33,Cellular,4.39,7,0,NO,118,Yes
